Gene ID	pathway_id	Pathway	Activity	
PF3D7_0101600	Geldanam_transc	Geldanamycin - effect of drug on gene transcription	PIR protein rifin	
PF3D7_0101600	struc_telom	Structure of telomere and sub-telomeric regions	PIR protein rifin	
PF3D7_0101600	exportome	Exportome - compiled from various sources	PIR protein rifin	
PF3D7_0101600	virulence	Candidate genes related to virulence	PIR protein rifin	
PF3D7_0101600	Progu_transc	Proguanil - effect of drug on gene transcription	PIR protein rifin	
PF3D7_0101600	rosetting	Rosette formation between normal and infected RBC	PIR protein rifin	
PF3D7_0101700	rosetting	Rosette formation between normal and infected RBC	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	
PF3D7_0101700	Doxyc_transc	Doxycycline - effect of drug on gene transcription	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	
PF3D7_0101700	Tafenoq_transc	Tafenoquine - effect of drug on gene transcription	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	
PF3D7_0101700	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene	
PF3D7_0101800	struc_telom	Structure of telomere and sub-telomeric regions	stevor PIR protein	
PF3D7_0101800	virulence	Candidate genes related to virulence	stevor PIR protein	
PF3D7_0101800	exportome	Exportome - compiled from various sources	stevor PIR protein	
PF3D7_0101800	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	stevor PIR protein	
PF3D7_0101800	rosetting	Rosette formation between normal and infected RBC	stevor PIR protein	
PF3D7_0101900	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	PIR protein rifin	
PF3D7_0101900	gene_lumef	Gene expression affected by lumefantrine	PIR protein rifin	
PF3D7_0101900	virulence	Candidate genes related to virulence	PIR protein rifin	
PF3D7_0101900	rosetting	Rosette formation between normal and infected RBC	PIR protein rifin	
PF3D7_0101900	struc_telom	Structure of telomere and sub-telomeric regions	PIR protein rifin	
PF3D7_0101900	exportome	Exportome - compiled from various sources	PIR protein rifin	
PF3D7_0102000	prop_exp_prots	Properties of proteins exported to erythrocyte	Plasmodium exported protein (PHISTa), unknown function, pseudogene	
PF3D7_0102000	exportome	Exportome - compiled from various sources	Plasmodium exported protein (PHISTa), unknown function, pseudogene	
PF3D7_0102000	PHIST	Exported proteins containing a PHIST domain	Plasmodium exported protein (PHISTa), unknown function, pseudogene	
PF3D7_0102100	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	stevor, pseudogene	
PF3D7_0102100	rosetting	Rosette formation between normal and infected RBC	stevor, pseudogene	
PF3D7_0102100	struc_telom	Structure of telomere and sub-telomeric regions	stevor, pseudogene	
PF3D7_0102200	phosph_treeck	Phosphoproteome - Treeck et al 2011	ring-infected erythrocyte surface antigen	
PF3D7_0102200	MCprot	Established and putative Maurer's clefts proteins	ring-infected erythrocyte surface antigen	
PF3D7_0102200	gluth_prot	S-Glutathionylated proteins	ring-infected erythrocyte surface antigen	
PF3D7_0102200	microves	Proteins of erythrocyte-derived microvesicles	ring-infected erythrocyte surface antigen	
PF3D7_0102200	cytoadherencescheme	Interactions between modified host cell membrane and endothelial cell	ring-infected erythrocyte surface antigen	
PF3D7_0102200	Acet_prot	Lysine acetylated proteins	ring-infected erythrocyte surface antigen	
PF3D7_0102200	ART_prot_Prot	The ART proteome	ring-infected erythrocyte surface antigen	
PF3D7_0102200	Pf_chaperones	Genes coding for chaperones and their regulators	ring-infected erythrocyte surface antigen	
PF3D7_0102200	exp_prots	Exported proteins of Plasmodium falciparum with confirmed location	ring-infected erythrocyte surface antigen	
PF3D7_0102200	prop_exp_prots	Properties of proteins exported to erythrocyte	ring-infected erythrocyte surface antigen	
PF3D7_0102200	exosome	Components of exosomes	ring-infected erythrocyte surface antigen	
PF3D7_0102200	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	ring-infected erythrocyte surface antigen	
PF3D7_0102200	exportome	Exportome - compiled from various sources	ring-infected erythrocyte surface antigen	
PF3D7_0102200	phospoprot	Phosphoproteome	ring-infected erythrocyte surface antigen	
PF3D7_0102200	PHIST	Exported proteins containing a PHIST domain	ring-infected erythrocyte surface antigen	
PF3D7_0102200	FV_prot	Food vacuole proteome	ring-infected erythrocyte surface antigen	
PF3D7_0102200	DRM_prot	Proteins of detergent-resistant membranes	ring-infected erythrocyte surface antigen	
PF3D7_0102200	phosph_Collins	Phosphoproteome - Collins et al 2014	ring-infected erythrocyte surface antigen	
PF3D7_0102200	Hsp_40_70	Localization and function of some Hsp40s and Hsp70s	ring-infected erythrocyte surface antigen	
PF3D7_0102200	Sub_exp	Subcellular location of exported proteins	ring-infected erythrocyte surface antigen	
PF3D7_0102200	arg_meth	Arginine-methylated proteins	ring-infected erythrocyte surface antigen	
PF3D7_0102200	subcel_exp	Subcellular localization of exported proteins	ring-infected erythrocyte surface antigen	
PF3D7_0102200	RBC_memb_remodel	Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte	ring-infected erythrocyte surface antigen	
PF3D7_0102200	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	ring-infected erythrocyte surface antigen	
PF3D7_0102200	phospho_mero	Phosphoproteome of the merozoite	ring-infected erythrocyte surface antigen	
PF3D7_0102200	coli_orth	Functional orthologs of known cell cycle proteins in E. coli	ring-infected erythrocyte surface antigen	
PF3D7_0102200	PTEX	Translocon of exported proteins (PTEX)	ring-infected erythrocyte surface antigen	
PF3D7_0102200	palmito	Total palmitome of Plasmodium falciparum	ring-infected erythrocyte surface antigen	
PF3D7_0102300	Chloram_transc	Chloramphenicol - effect of drug on gene transcription	Plasmodium exported protein, unknown function	
PF3D7_0102300	exportome	Exportome - compiled from various sources	Plasmodium exported protein, unknown function	
PF3D7_0102300	virulence	Candidate genes related to virulence	Plasmodium exported protein, unknown function	
PF3D7_0102300	Tafenoq_transc	Tafenoquine - effect of drug on gene transcription	Plasmodium exported protein, unknown function	
PF3D7_0102400	phserine	Phosphatidylethanolamine and phosphatidylserine metabolism	lysophospholipase, putative, pseudogene	
PF3D7_0102400	chloroq_transc	Chloroquine - effect of drug on gene transcription	lysophospholipase, putative, pseudogene	
PF3D7_0102400	phcholine	Phosphatidylcholine metabolism	lysophospholipase, putative, pseudogene	
PF3D7_0102400	utilPhospho	Utilization of phospholipids	lysophospholipase, putative, pseudogene	
PF3D7_0102500	virulence	Candidate genes related to virulence	erythrocyte binding antigen-181	
PF3D7_0102500	ligandAndreceptor	Parasite invasion ligands and human erythrocyte receptors	erythrocyte binding antigen-181	
PF3D7_0102500	exosome	Components of exosomes	erythrocyte binding antigen-181	
PF3D7_0102500	Par_RBC	Protein-Protein Interactions between Human Erythrocytes and Plasmodium falciparum	erythrocyte binding antigen-181	
PF3D7_0102500	lipid_raft	Location of lipid raft-associated proteins	erythrocyte binding antigen-181	
PF3D7_0102500	meroz_RBClig	Merozoite ligands, their erythrocyte receptors	erythrocyte binding antigen-181	
PF3D7_0102500	Merozoiteproteins	Functional annotation of merozoite invasion-related proteins	erythrocyte binding antigen-181	
PF3D7_0102500	phospho_mero	Phosphoproteome of the merozoite	erythrocyte binding antigen-181	
PF3D7_0102500	DomSurfaceProt	Domains of merozoite surface proteins	erythrocyte binding antigen-181	
PF3D7_0102500	exportome	Exportome - compiled from various sources	erythrocyte binding antigen-181	
PF3D7_0102500	microves	Proteins of erythrocyte-derived microvesicles	erythrocyte binding antigen-181	
PF3D7_0102500	Interac_prot	Important interacting proteins	erythrocyte binding antigen-181	
PF3D7_0102500	transl_regul	Transcripts translationally regulated in asexual blood stages	erythrocyte binding antigen-181	
PF3D7_0102500	proteinsLocalizpath	Subcellular localization of proteins involved in invasion	erythrocyte binding antigen-181	
PF3D7_0102500	prot_protease	Protein-protein associations involving proteases	erythrocyte binding antigen-181	
PF3D7_0102600	exportome	Exportome - compiled from various sources	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	Interac_prot	Important interacting proteins	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	virulence	Candidate genes related to virulence	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	Par_RBC	Protein-Protein Interactions between Human Erythrocytes and Plasmodium falciparum	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	palmito	Total palmitome of Plasmodium falciparum	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	Protein_kinases	Protein kinase coding genes	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	phosphorylation	Protein phosphorylation	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	prop_exp_prots	Properties of proteins exported to erythrocyte	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	Geldanam_transc	Geldanamycin - effect of drug on gene transcription	serine/threonine protein kinase, FIKK family	
PF3D7_0102600	transdha	Transcriptomic response of dihydroartemisinin (DHA) treated K1 strain trophozoites	serine/threonine protein kinase, FIKK family	
PF3D7_0102900	Acet_prot	Lysine acetylated proteins	aspartate--tRNA ligase	
PF3D7_0102900	adenylyl	Modification of proteins by adenylylation and ADP-ribosylation	aspartate--tRNA ligase	
PF3D7_0102900	prot_protease	Protein-protein associations involving proteases	aspartate--tRNA ligase	
PF3D7_0102900	cel_cycle_prot	Cell cycle compartment assocation between P. falciparum cell cycle perturbed transcriptomes	aspartate--tRNA ligase	
PF3D7_0102900	alanAspartate	Asparagine and Aspartate metabolism	aspartate--tRNA ligase	
PF3D7_0102900	prot_ATP	Proteins with ATPase activity	aspartate--tRNA ligase	
PF3D7_0102900	nucle_prote	Nuclear proteome	aspartate--tRNA ligase	
PF3D7_0102900	proteinBiosynth	Protein biosynthesis	aspartate--tRNA ligase	
PF3D7_0102900	tRNA_lig	Localization of aminoacyl-tRNA ligases in the three protein translational compartments	aspartate--tRNA ligase	
PF3D7_0102900	prot_rupt	Proteins released from infected cells during rupture	aspartate--tRNA ligase	
PF3D7_0103000	Acet_prot	Lysine acetylated proteins	vacuolar protein sorting-associated protein VTA1, putative	
PF3D7_0103000	largeTethering	Large Tethering Complexes that Act in the Secretory and Endocytic Pathways	vacuolar protein sorting-associated protein VTA1, putative	
PF3D7_0103100	GARP	GARP (Golgi-associated retrograde protein) complex	vacuolar protein sorting-associated protein 51, putative	
PF3D7_0103100	PQS	P. falciparum genes harboring G-quadruplexes	vacuolar protein sorting-associated protein 51, putative	
PF3D7_0103100	lys_met	Peptides with confirmed methylated lysine residues	vacuolar protein sorting-associated protein 51, putative	
PF3D7_0103100	largeTethering	Large Tethering Complexes that Act in the Secretory and Endocytic Pathways	vacuolar protein sorting-associated protein 51, putative	
PF3D7_0103200	crt_mdr_GEN	Genes whose expression is highly positively or negatively correlated with pfcrt or pfmdr1	nucleoside transporter 4, NT4	
PF3D7_0103200	phosph_Collins	Phosphoproteome - Collins et al 2014	nucleoside transporter 4, NT4	
PF3D7_0103200	phospoprot	Phosphoproteome	nucleoside transporter 4, NT4	
PF3D7_0103200	PPM	Transporters of the plasma membrane	nucleoside transporter 4, NT4	
PF3D7_0103200	palmito	Total palmitome of Plasmodium falciparum	nucleoside transporter 4, NT4	
PF3D7_0103200	phosph_Pease	Phosphoproteome - Pease et al 2013	nucleoside transporter 4, NT4	
PF3D7_0103200	transl_regul	Transcripts translationally regulated in asexual blood stages	nucleoside transporter 4, NT4	
PF3D7_0103200	phosph_treeck	Phosphoproteome - Treeck et al 2011	nucleoside transporter 4, NT4	
PF3D7_0103200	phospho_mero	Phosphoproteome of the merozoite	nucleoside transporter 4, NT4	
PF3D7_0103200	transporters	Genes coding for transport proteins	nucleoside transporter 4, NT4	
PF3D7_0103200	phosphopr	The phosphoproteome of Plasmodium falciparum infected RBCs	nucleoside transporter 4, NT4	
PF3D7_0103200	phosph_Lasonder	Phosphoproteome - Lasonder et al 2011	nucleoside transporter 4, NT4	
PF3D7_0103200	DRM_prot	Proteins of detergent-resistant membranes	nucleoside transporter 4, NT4	
PF3D7_0103400	cAMP_stage	Differentially expressed genes in different stages treated with cAMP	zinc-carboxypeptidase, putative	
PF3D7_0103400	phosph_treeck	Phosphoproteome - Treeck et al 2011	zinc-carboxypeptidase, putative	
PF3D7_0103400	phospoprot	Phosphoproteome	zinc-carboxypeptidase, putative	
PF3D7_0103400	proteases	Peptidases and proteases	zinc-carboxypeptidase, putative	
PF3D7_0103600	splicing	Splicing of pre-mRNA	ATP-dependent RNA helicase, putative	
PF3D7_0103600	RNA_prot	RNA binding proteins	ATP-dependent RNA helicase, putative	
PF3D7_0103600	helicases	Helicases	ATP-dependent RNA helicase, putative	
PF3D7_0103600	api_prot	The proteome of the apicoplast	ATP-dependent RNA helicase, putative	
PF3D7_0103600	Prot_protstre	Predicted protein-protein interactions of plausible stress helicases	ATP-dependent RNA helicase, putative	
PF3D7_0103700	selenocysteine	Selenocysteine biosynthesis	L-seryl-tRNA(Sec) kinase, putative	
PF3D7_0103800	chrom_remod	ATP-dependent chromatin remodeling complexes	actin-related protein	
PF3D7_0103800	cAMP_stage	Differentially expressed genes in different stages treated with cAMP	actin-related protein	
PF3D7_0103800	centrosome	Centrosome proteins	actin-related protein	
PF3D7_0103800	melat_express	Differentially expressed genes in 3D7 strain treated for 5h with melatonin	actin-related protein	
PF3D7_0103800	actin	Actin and filaments	actin-related protein	
PF3D7_0103900	iRBC_prots	Parasite encoded proteins associated with the membrane of infected erythrocytes	parasite-infected erythrocyte surface protein	
PF3D7_0103900	rabIntracellular	Rab and other proteins involved in intracellular traffic	parasite-infected erythrocyte surface protein	
PF3D7_0103900	phospoprot	Phosphoproteome	parasite-infected erythrocyte surface protein	
PF3D7_0103900	Acet_prot	Lysine acetylated proteins	parasite-infected erythrocyte surface protein	
PF3D7_0103900	phosph_treeck	Phosphoproteome - Treeck et al 2011	parasite-infected erythrocyte surface protein	
PF3D7_0104000	linearMotor	Components of the linear motor responsible for merozoite motility in invasion	thrombospondin-related sporozoite protein	
PF3D7_0104000	SEP_prot	Top ranked surface exposed proteins	thrombospondin-related sporozoite protein	
PF3D7_0104000	apicoplastgenes	Nuclear genes with apicoplast signal sequences	thrombospondin-related sporozoite protein	
PF3D7_0104000	exportome	Exportome - compiled from various sources	thrombospondin-related sporozoite protein	
PF3D7_0104200	inosiPhosphmetpath	Inositol Phosphate metabolism	StAR-related lipid transfer protein	
PF3D7_0104200	sphingometpath	Sphingomyelin and ceramide metabolism	StAR-related lipid transfer protein	
PF3D7_0104200	phcholine	Phosphatidylcholine metabolism	StAR-related lipid transfer protein	
PF3D7_0104200	ER_mito	Functions of the ER-Mitochondrial contacts	StAR-related lipid transfer protein	
PF3D7_0104200	transl_regul	Transcripts translationally regulated in asexual blood stages	StAR-related lipid transfer protein	
PF3D7_0104200	VAP_COS	ER protein VAP establish membrane contact sites	StAR-related lipid transfer protein	
PF3D7_0104200	protPV	Proteome of the parasitophorous vacuole	StAR-related lipid transfer protein	
PF3D7_0104200	CQ_redox_drug	Redox-proteome changes induced by chloroquine across the intraerythrocytic stages of P. falciparum Dd2	StAR-related lipid transfer protein	
PF3D7_0104200	lys_met	Peptides with confirmed methylated lysine residues	StAR-related lipid transfer protein	
PF3D7_0104200	phserine	Phosphatidylethanolamine and phosphatidylserine metabolism	StAR-related lipid transfer protein	
PF3D7_0104200	exportome	Exportome - compiled from various sources	StAR-related lipid transfer protein	
PF3D7_0104300	CHIP_Atx-3	Model of the Ube2w/CHIP/Ataxin-3 Ubiquitination Cycle	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	phosph_Pease	Phosphoproteome - Pease et al 2013	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	proteases	Peptidases and proteases	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	phosph_Collins	Phosphoproteome - Collins et al 2014	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	phosph_treeck	Phosphoproteome - Treeck et al 2011	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	PCNA_UB	A model for UbpX function in the regulation of PCNA deubiquitylation	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	art_moa	Postulated artemisinins' modes of action	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	proteaUbiqpath	Proteasome-mediated proteolysis of ubiquinated proteins	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	phospho_mero	Phosphoproteome of the merozoite	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	DNA_transles	Model for translesion DNA synthesis	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	nucle_prote	Nuclear proteome	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	phospoprot	Phosphoproteome	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	nuclearGenes	Nuclear genes with mitochondrial signal sequences	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	DUBs	General roles of deubiquitinases	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	proteasome_new	Genes coding for components of the proteasome degradation machinery & their timed transcription	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104300	ubiq_gene	Genes encoding ubiquitin-related reactions	ubiquitin carboxyl-terminal hydrolase 1, putative	
PF3D7_0104400	enz_imp	Single Gene/enzyme deletions predicted to cause impairment of metabolic networks	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
PF3D7_0104400	drug_targ	Drug targets	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
PF3D7_0104400	protPV	Proteome of the parasitophorous vacuole	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
PF3D7_0104400	isoprenoidmetpath	Isoprenoids metabolism	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
PF3D7_0104400	gluth_prot	S-Glutathionylated proteins	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
PF3D7_0104400	apicoplastgenes	Nuclear genes with apicoplast signal sequences	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
PF3D7_0104400	api_prot	The proteome of the apicoplast	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	
PF3D7_0104500	protPV	Proteome of the parasitophorous vacuole	conserved protein, unknown function	
PF3D7_0104600	transdha	Transcriptomic response of dihydroartemisinin (DHA) treated K1 strain trophozoites	conserved Plasmodium protein, unknown function	
PF3D7_0104700	Tafenoq_transc	Tafenoquine - effect of drug on gene transcription	major facilitator superfamily-related transporter, MFR2	
PF3D7_0104700	transporters	Genes coding for transport proteins	major facilitator superfamily-related transporter, MFR2	
PF3D7_0104700	Doxyc_transc	Doxycycline - effect of drug on gene transcription	major facilitator superfamily-related transporter, MFR2	
PF3D7_0104700	Chloram_transc	Chloramphenicol - effect of drug on gene transcription	major facilitator superfamily-related transporter, MFR2	
PF3D7_0104700	chloroq_transc	Chloroquine - effect of drug on gene transcription	major facilitator superfamily-related transporter, MFR2	
PF3D7_0104800	phosph_Collins	Phosphoproteome - Collins et al 2014	novel putative transporter 1, NPT1	
PF3D7_0104800	phospho_mero	Phosphoproteome of the merozoite	novel putative transporter 1, NPT1	
