Gene ID	source_id	Product Description	Previous ID(s)	gene_source_id	Gene Name or Symbol	Gene has Unmatched Transcripts	
PBANKA_0100400	PBANKA_0100400.1	reticulocyte binding protein, putative	Previous IDs: PB105536.00.0;PBANKA_010040	PBANKA_0100400	Pb235	no	
PBANKA_0100500	PBANKA_0100500.1	PIR protein	Previous IDs: PB106914.00.0;PB402406.00.0;PBANKA_010050	PBANKA_0100500	N/A	no	
PBANKA_0100600	PBANKA_0100600.1	schizont membrane associated cytoadherence protein	Previous IDs: PB106913.00.0;PBANKA_010060	PBANKA_0100600	SMAC	no	
PBANKA_0100700	PBANKA_0100700.1	Plasmodium exported protein, unknown function	Previous IDs: PB102655.00.0;PB402379.00.0;PBANKA_010070	PBANKA_0100700	N/A	no	
PBANKA_0100800	PBANKA_0100800.1	zinc finger protein, putative	Previous IDs: PB000291.01.0;PB300775.00.0;PBANKA_010080	PBANKA_0100800	N/A	no	
PBANKA_0100900	PBANKA_0100900.1	ATP-dependent RNA helicase, putative	Previous IDs: PB001112.02.0;PB301243.00.0;PBANKA_010090	PBANKA_0100900	N/A	no	
PBANKA_0101000	PBANKA_0101000.1	MYND-type zinc finger protein, putative	Previous IDs: PB001117.02.0;PB300247.00.0;PB300583.00.0;PBANKA_010100	PBANKA_0101000	N/A	no	
PBANKA_0101100	PBANKA_0101100.1	liver merozoite formation protein	Previous IDs: PB001116.02.0;PBANKA_010110	PBANKA_0101100	PALM	no	
PBANKA_0101200	PBANKA_0101200.1	elongation factor G, putative	Previous IDs: PB001113.02.0;PB300521.00.0;PBANKA_010120	PBANKA_0101200	EF-G	no	
PBANKA_0101300	PBANKA_0101300.1	geranylgeranyl transferase type-2 subunit beta, putative	Previous IDs: PB001114.02.0;PB301566.00.0;PBANKA_010130	PBANKA_0101300	N/A	no	
PBANKA_0101400	PBANKA_0101400.1	SAC3 domain-containing protein, putative	Previous IDs: PB001115.02.0;PBANKA_010140	PBANKA_0101400	N/A	no	
PBANKA_0101500	PBANKA_0101500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000865.01.0;PBANKA_010150	PBANKA_0101500	N/A	no	
PBANKA_0101600	PBANKA_0101600.1	JmjC domain-containing protein, putative	Previous IDs: PB301508.00.0;PBANKA_010160	PBANKA_0101600	JmjC2	no	
PBANKA_0101700	PBANKA_0101700.1	conserved Plasmodium protein, unknown function	Previous IDs: PB301509.00.0;PBANKA_010170	PBANKA_0101700	N/A	no	
PBANKA_0101800	PBANKA_0101800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001235.00.0;PB300372.00.0;PBANKA_010180	PBANKA_0101800	N/A	no	
PBANKA_0101900	PBANKA_0101900.1	RNA-binding protein, putative	Previous IDs: PB001234.00.0;PBANKA_010190	PBANKA_0101900	N/A	no	
PBANKA_0102000	PBANKA_0102000.1	mitochondrial chaperone BCS1, putative	Previous IDs: PB001168.02.0;PBANKA_010200	PBANKA_0102000	BCS1	no	
PBANKA_0102100	PBANKA_0102100.1	dihydroorotate dehydrogenase, putative	Previous IDs: PB001169.02.0;PBANKA_010210	PBANKA_0102100	DHODH	no	
PBANKA_0102200	PBANKA_0102200.1	trophozoite exported protein 1, putative	Previous IDs: PB001170.02.0;PBANKA_010220	PBANKA_0102200	TEX1	no	
PBANKA_0102300	PBANKA_0102300.1	cation/H+ antiporter	Previous IDs: PB000125.00.0;PBANKA_010230	PBANKA_0102300	CAX	no	
PBANKA_0102400	PBANKA_0102400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000126.00.0;PB000891.03.0;PB100234.00.0;PB300702.00.0;PBANKA_010240	PBANKA_0102400	N/A	no	
PBANKA_0102500	PBANKA_0102500.1	phenylalanine--tRNA ligase, putative	Previous IDs: PB000604.02.0;PBANKA_010250	PBANKA_0102500	N/A	no	
PBANKA_0102600	PBANKA_0102600.1	centrosomal protein CEP76, putative	Previous IDs: PB000605.02.0;PB000819.02.0;PB300709.00.0;PBANKA_010260	PBANKA_0102600	CEP76	no	
PBANKA_0102700	PBANKA_0102700.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000820.02.0;PBANKA_010270	PBANKA_0102700	N/A	no	
PBANKA_0102800	PBANKA_0102800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB300118.00.0;PBANKA_010280	PBANKA_0102800	N/A	no	
PBANKA_0102900	PBANKA_0102900.1	AP2 domain transcription factor, putative	Previous IDs: PB300561.00.0;PB405120.00.0;PBANKA_010290	PBANKA_0102900	SIP2	no	
PBANKA_0103000	PBANKA_0103000.1	mitochondrial ribosomal protein L41, putative	Previous IDs: PB300449.00.0;PBANKA_010300	PBANKA_0103000	N/A	no	
PBANKA_0103100	PBANKA_0103100.1	conserved Plasmodium protein, unknown function	Previous IDs: PB300997.00.0;PB301240.00.0;PBANKA_010310	PBANKA_0103100	N/A	no	
PBANKA_0103200	PBANKA_0103200.1	conserved protein, unknown function	Previous IDs: PB405251.00.0;PBANKA_010320	PBANKA_0103200	N/A	no	
PBANKA_0103300	PBANKA_0103300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000155.03.0;PB107464.00.0;PB107547.00.0;PBANKA_010330	PBANKA_0103300	N/A	no	
PBANKA_0103400	PBANKA_0103400.1	glyoxalase I-like protein GILP, putative	Previous IDs: PB000397.03.0;PB000398.03.0;PB000438.03.0;PB300752.00.0;PBANKA_010340	PBANKA_0103400	GILP	no	
PBANKA_0103500	PBANKA_0103500.1	RAP protein, putative	Previous IDs: PB000220.01.0;PB000619.03.0;PBANKA_010350;PBANKA_010360	PBANKA_0103500	N/A	no	
PBANKA_0103700	PBANKA_0103700.1	conserved Plasmodium protein, unknown function	Previous IDs: PB101509.00.0;PBANKA_010370	PBANKA_0103700	N/A	no	
PBANKA_0103800	PBANKA_0103800.1	50S ribosomal protein L24, putative	Previous IDs: PB000858.00.0;PBANKA_010380	PBANKA_0103800	N/A	no	
PBANKA_0103900	PBANKA_0103900.1	RNA-binding protein, putative	Previous IDs: PB000923.00.0;PBANKA_010390	PBANKA_0103900	N/A	no	
PBANKA_0104000	PBANKA_0104000.1	conserved protein, unknown function	Previous IDs: PB000866.02.0;PBANKA_010400	PBANKA_0104000	N/A	no	
PBANKA_0104100	PBANKA_0104100.1	serine/threonine protein kinase, putative	Previous IDs: PB000863.02.0;PBANKA_010410	PBANKA_0104100	ARK1	no	
PBANKA_0104200	PBANKA_0104200.1	calcium-binding protein, putative	Previous IDs: PB000865.02.0;PBANKA_010420	PBANKA_0104200	N/A	no	
PBANKA_0104300	PBANKA_0104300.1	cyclin dependent kinase binding protein, putative	Previous IDs: PB000864.02.0;PB403248.00.0;PBANKA_010430	PBANKA_0104300	N/A	no	
PBANKA_0104400	PBANKA_0104400.1	nucleoside diphosphate kinase, putative	Previous IDs: PB000105.01.0;PB000203.01.0;PB301502.00.0;PBANKA_010440	PBANKA_0104400	N/A	no	
PBANKA_0104500	PBANKA_0104500.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_010450	PBANKA_0104500	N/A	no	
PBANKA_0104600	PBANKA_0104600.1	DNA repair protein RAD50, putative	Previous IDs: PB000769.00.0;PB107227.00.0;PB300714.00.0;PBANKA_010460	PBANKA_0104600	RAD50	no	
PBANKA_0104700	PBANKA_0104700.1	long chain polyunsaturated fatty acid elongation enzyme, putative	Previous IDs: PB000405.01.0;PBANKA_010470	PBANKA_0104700	N/A	no	
PBANKA_0104800	PBANKA_0104800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000404.01.0;PB301312.00.0;PBANKA_010480	PBANKA_0104800	N/A	no	
PBANKA_0104900	PBANKA_0104900.1	RNA-binding protein, putative	Previous IDs: PB000403.01.0;PBANKA_010490	PBANKA_0104900	N/A	no	
PBANKA_0105000	PBANKA_0105000.1	ubiquitin-conjugating enzyme E2 PEX4, putative	Previous IDs: PB000371.03.0;PBANKA_010500	PBANKA_0105000	PEX4	no	
PBANKA_0105100	PBANKA_0105100.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_010510	PBANKA_0105100	N/A	no	
PBANKA_0105200	PBANKA_0105200.1	polypyrimidine tract-binding protein, putative	Previous IDs: PB000329.02.0;PBANKA_010520	PBANKA_0105200	PTB	no	
PBANKA_0105300	PBANKA_0105300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000269.02.0;PB000419.00.0;PB001117.01.0;PBANKA_010530	PBANKA_0105300	N/A	no	
PBANKA_0105400	PBANKA_0105400.1	coatomer alpha subunit, putative	Previous IDs: PB000076.01.0;PB000878.00.0;PB000975.03.0;PBANKA_010540	PBANKA_0105400	N/A	no	
PBANKA_0105500	PBANKA_0105500.1	glutaredoxin-like protein	Previous IDs: PB000796.02.0;PB300610.00.0;PBANKA_010550	PBANKA_0105500	GLP2	no	
PBANKA_0105600	PBANKA_0105600.1	translation initiation factor IF-2, putative	Previous IDs: PB000795.02.0;PBANKA_010560	PBANKA_0105600	N/A	no	
PBANKA_0105700	PBANKA_0105700.1	MYND-type zinc finger protein, putative	Previous IDs: PB300938.00.0;PB300939.00.0;PBANKA_010570	PBANKA_0105700	N/A	no	
PBANKA_0105800	PBANKA_0105800.1	RING zinc finger protein, putative	Previous IDs: PB000109.02.0;PBANKA_010580	PBANKA_0105800	N/A	no	
PBANKA_0105900	PBANKA_0105900.1	uroporphyrinogen III decarboxylase	Previous IDs: PB001166.01.0;PBANKA_010590;UROD	PBANKA_0105900	UROD	no	
PBANKA_0106000	PBANKA_0106000.1	G-protein associated signal transduction protein, putative	Previous IDs: PB000838.00.0;PB001283.00.0;PBANKA_010600	PBANKA_0106000	N/A	no	
PBANKA_0106100	PBANKA_0106100.1	4-hydroxybenzoate polyprenyltransferase, putative	Previous IDs: PB000333.02.0;PB000492.03.0;PBANKA_010610	PBANKA_0106100	COQ2	no	
PBANKA_0106200	PBANKA_0106200.1	spindle assembly abnormal protein 6	Previous IDs: PB000351.03.0;PB000493.03.0;PBANKA_010620	PBANKA_0106200	SAS6	no	
PBANKA_0106300	PBANKA_0106300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001068.03.0;PB300613.00.0;PB400383.00.0;PB403808.00.0;PBANKA_010630	PBANKA_0106300	N/A	no	
PBANKA_0106400	PBANKA_0106400.1	GTP-binding protein, putative	Previous IDs: PB000969.01.0;PBANKA_010640	PBANKA_0106400	N/A	no	
PBANKA_0106500	PBANKA_0106500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000059.00.0;PB103904.00.0;PBANKA_010650	PBANKA_0106500	N/A	no	
PBANKA_0106600	PBANKA_0106600.1	diphthine methyltransferase, putative	Previous IDs: PB000060.00.0;PB000560.02.0;PBANKA_010660	PBANKA_0106600	DPH7	no	
PBANKA_0106700	PBANKA_0106700.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000559.02.0;PB001428.02.0;PBANKA_010670	PBANKA_0106700	N/A	no	
PBANKA_0106800	PBANKA_0106800.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001427.02.0;PBANKA_010680	PBANKA_0106800	N/A	no	
PBANKA_0106900	PBANKA_0106900.1	heptatricopeptide repeat-containing protein, putative	Previous IDs: PB001403.02.0;PB001429.02.0;PBANKA_010690	PBANKA_0106900	N/A	no	
PBANKA_0106950	PBANKA_0106950.1	sorting assembly machinery 50 kDa subunit, putative	Previous IDs: PB001403.02.0;PB001429.02.0;PBANKA_010695	PBANKA_0106950	SAM50	no	
PBANKA_0107000	PBANKA_0107000.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001405.02.0;PBANKA_010700	PBANKA_0107000	N/A	no	
PBANKA_0107100	PBANKA_0107100.1	proteasome subunit alpha type-2, putative	Previous IDs: PB001404.02.0;PBANKA_010710	PBANKA_0107100	N/A	no	
PBANKA_0107200	PBANKA_0107200.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_010720	PBANKA_0107200	N/A	no	
PBANKA_0107300	PBANKA_0107300.1	T-complex protein 1 subunit zeta, putative	Previous IDs: PB001086.01.0;PB300191.00.0;PBANKA_010730	PBANKA_0107300	CCT6	no	
PBANKA_0107400	PBANKA_0107400.1	ornithine aminotransferase, putative	Previous IDs: PB000618.00.0;PBANKA_010740	PBANKA_0107400	OAT	no	
PBANKA_0107500	PBANKA_0107500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001299.00.0;PBANKA_010750	PBANKA_0107500	N/A	no	
PBANKA_0107600	PBANKA_0107600.1	nucleoporin NUP637, putative	Previous IDs: PB000013.03.0;PB000283.03.0;PB000343.02.0;PBANKA_010760	PBANKA_0107600	NUP637	no	
PBANKA_0107700	PBANKA_0107700.1	zinc transporter ZIP1	Previous IDs: PB000033.01.0;PBANKA_010770	PBANKA_0107700	ZIP1	no	
PBANKA_0107800	PBANKA_0107800.1	citrate synthase-like protein, putative	Previous IDs: PB000034.02.0;PB102305.00.0;PBANKA_010780	PBANKA_0107800	N/A	no	
PBANKA_0107900	PBANKA_0107900.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000035.02.0;PB000232.01.0;PBANKA_010790	PBANKA_0107900	N/A	no	
PBANKA_0108000	PBANKA_0108000.1	mitochondrial cardiolipin synthase, putative	Previous IDs: PBANKA_010800	PBANKA_0108000	CLS	no	
PBANKA_0108100	PBANKA_0108100.1	conserved Plasmodium protein, unknown function	Previous IDs: PB101448.00.0;PB101449.00.0;PBANKA_010810	PBANKA_0108100	N/A	no	
PBANKA_0108200	PBANKA_0108200.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001011.03.0;PB001213.02.0;PBANKA_010820	PBANKA_0108200	N/A	no	
PBANKA_0108300	PBANKA_0108300.1	palmitoyltransferase DHHC2	Previous IDs: PB001212.02.0;PBANKA_010830	PBANKA_0108300	DHHC2	no	
PBANKA_0108400	PBANKA_0108400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000400.00.0;PB000974.03.0;PB001622.02.0;PB400033.00.0;PBANKA_010840	PBANKA_0108400	N/A	no	
PBANKA_0108500	PBANKA_0108500.1	mitochondrial ribosomal protein L19 precursor, putative	Previous IDs: PB000401.00.0;PBANKA_010850	PBANKA_0108500	N/A	no	
PBANKA_0108600	PBANKA_0108600.1	pre-mRNA-splicing factor SLU7, putative	Previous IDs: PB000402.00.0;PBANKA_010860	PBANKA_0108600	SLU7	no	
PBANKA_0108700	PBANKA_0108700.1	RNA-binding protein 25, putative	Previous IDs: PB000409.03.0;PBANKA_010870	PBANKA_0108700	RBM25	no	
PBANKA_0108800	PBANKA_0108800.1	histone H3, putative	Previous IDs: PB106763.00.0;PBANKA_010880	PBANKA_0108800	N/A	no	
PBANKA_0108900	PBANKA_0108900.1	peptidyl-tRNA hydrolase PTRHD1, putative	Previous IDs: PB000307.03.0;PBANKA_010890	PBANKA_0108900	N/A	no	
PBANKA_0109000	PBANKA_0109000.1	conserved Plasmodium protein, unknown function	Previous IDs: PB001253.02.0;PBANKA_010900	PBANKA_0109000	N/A	no	
PBANKA_0109100	PBANKA_0109100.1	transketolase, putative	Previous IDs: PB000118.03.0;PB001252.02.0;PBANKA_010910	PBANKA_0109100	TK	no	
PBANKA_0109200	PBANKA_0109200.1	transcription elongation factor SPT5, putative	Previous IDs: PB000119.03.0;PB000533.02.0;PBANKA_010920	PBANKA_0109200	SPT5	no	
PBANKA_0109300	PBANKA_0109300.1	SNARE associated Golgi protein, putative	Previous IDs: PB000565.03.0;PBANKA_010930	PBANKA_0109300	N/A	no	
PBANKA_0109400	PBANKA_0109400.1	succinate dehydrogenase subunit 3, putative	Previous IDs: PB000564.03.0;PBANKA_010940	PBANKA_0109400	SDH3	no	
PBANKA_0109500	PBANKA_0109500.1	AP2 domain transcription factor, putative	Previous IDs: PB000563.03.0;PBANKA_010950	PBANKA_0109500	ApiAP2	no	
PBANKA_0109600	PBANKA_0109600.1	ATP synthase-associated protein, putative	Previous IDs: PB000562.03.0;PBANKA_010960	PBANKA_0109600	N/A	no	
PBANKA_0109700	PBANKA_0109700.1	SWIB/MDM2 domain-containing protein, putative	Previous IDs: PB107824.00.0;PB300942.00.0;PB301354.00.0;PBANKA_010970	PBANKA_0109700	SWIB	no	
PBANKA_0109800	PBANKA_0109800.1	conserved protein, unknown function	Previous IDs: PB300967.00.0;PBANKA_010980	PBANKA_0109800	N/A	no	
PBANKA_0109900	PBANKA_0109900.1	basal complex transmembrane protein 1, putative	Previous IDs: PB301072.00.0;PBANKA_010990	PBANKA_0109900	BTP1	no	
PBANKA_0110000	PBANKA_0110000.1	60S ribosomal protein L39, putative	Previous IDs: PB402098.00.0;PBANKA_011000	PBANKA_0110000	N/A	no	
PBANKA_0110100	PBANKA_0110100.1	conserved Plasmodium protein, unknown function	Previous IDs: PB403614.00.0;PB404243.00.0;PBANKA_011010	PBANKA_0110100	N/A	no	
PBANKA_0110200	PBANKA_0110200.1	lsm12, putative	Previous IDs: PB100309.00.0;PBANKA_011020	PBANKA_0110200	N/A	no	
PBANKA_0110300	PBANKA_0110300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB100311.00.0;PBANKA_011030	PBANKA_0110300	N/A	no	
PBANKA_0110400	PBANKA_0110400.1	eukaryotic translation initiation factor 3 subunit L, putative	Previous IDs: PBANKA_011040	PBANKA_0110400	EIF3L	no	
PBANKA_0110500	PBANKA_0110500.1	leucine-rich repeat protein	Previous IDs: PB000362.03.0;PB105848.00.0;PB107484.00.0;PB300464.00.0;PB301306.00.0;PBANKA_011050;PbLRR6	PBANKA_0110500	LRR6	no	
PBANKA_0110600	PBANKA_0110600.1	transmembrane protein 234, putative	Previous IDs: PBANKA_011060	PBANKA_0110600	TMEM234	no	
PBANKA_0110700	PBANKA_0110700.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_011070	PBANKA_0110700	N/A	no	
PBANKA_0110800	PBANKA_0110800.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_011080	PBANKA_0110800	N/A	no	
PBANKA_0110900	PBANKA_0110900.1	cytoplasmic tRNA 2-thiolation protein 1, putative	Previous IDs: PB000899.03.0;PBANKA_011090	PBANKA_0110900	NCS6	no	
PBANKA_0111000	PBANKA_0111000.1	6-cysteine protein P12, putative	Previous IDs: PB000528.00.0;PBANKA_011100	PBANKA_0111000	P12	no	
PBANKA_0111100	PBANKA_0111100.1	6-cysteine protein	Previous IDs: P12p;PB000527.00.0;PBANKA_011110	PBANKA_0111100	P12p	no	
PBANKA_0111200	PBANKA_0111200.1	nucleolar GTP-binding protein 1, putative	Previous IDs: PB000526.00.0;PBANKA_011120	PBANKA_0111200	NOG1	no	
PBANKA_0111300	PBANKA_0111300.1	conserved Plasmodium protein, unknown function	Previous IDs: PB000550.00.0;PBANKA_011130;PBANKA_0111300.1;PBANKA_0111300.2	PBANKA_0111300	N/A	no	
PBANKA_0111300	PBANKA_0111300.2	conserved Plasmodium protein, unknown function	Previous IDs: PB000550.00.0;PBANKA_011130;PBANKA_0111300.1;PBANKA_0111300.2	PBANKA_0111300	N/A	no	
PBANKA_0111400	PBANKA_0111400.1	conserved Plasmodium protein, unknown function	Previous IDs: PB107557.00.0;PBANKA_011140	PBANKA_0111400	N/A	no	
PBANKA_0111500	PBANKA_0111500.1	conserved Plasmodium protein, unknown function	Previous IDs: PB107556.00.0;PBANKA_011150	PBANKA_0111500	N/A	no	
PBANKA_0111600	PBANKA_0111600.1	rhoptry protein ROP14, putative	Previous IDs: PB000363.02.0;PB000549.01.0;PB102291.00.0;PB103142.00.0;PBANKA_011160	PBANKA_0111600	ROP14	no	
PBANKA_0111700	PBANKA_0111700.1	50S ribosomal protein L18, apicoplast, putative	Previous IDs: PB001088.03.0;PBANKA_011170	PBANKA_0111700	N/A	no	
PBANKA_0111800	PBANKA_0111800.1	AP-3 complex subunit beta, putative	Previous IDs: PB000595.03.0;PB001089.03.0;PBANKA_011180	PBANKA_0111800	N/A	no	
PBANKA_0111900	PBANKA_0111900.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_011190	PBANKA_0111900	N/A	no	
PBANKA_0112000	PBANKA_0112000.1	syntaxin-binding protein, putative	Previous IDs: PB300307.00.0;PBANKA_011200	PBANKA_0112000	N/A	no	
PBANKA_0112100	PBANKA_0112100.1	AP2 domain transcription factor, putative	Previous IDs: PB000094.00.0;PB000793.03.0;PB300927.00.0;PB301044.00.0;PB401813.00.0;PBANKA_011210	PBANKA_0112100	ApiAP2	no	
PBANKA_0112200	PBANKA_0112200.1	myosin E, putative	Previous IDs: PB000093.00.0;PBANKA_011220	PBANKA_0112200	myoE	no	
PBANKA_0112300	PBANKA_0112300.1	conserved Plasmodium protein, unknown function	Previous IDs: PBANKA_011230	PBANKA_0112300	N/A	no	
PBANKA_0112400	PBANKA_0112400.1	cytosolic Fe-S cluster assembly factor NAR1, putative	Previous IDs: PBANKA_011240	PBANKA_0112400	NAR1	no	
PBANKA_0112500	PBANKA_0112500.1	major facilitator superfamily-related transporter, putative	Previous IDs: PB000106.01.0;PB401518.00.0;PBANKA_011250	PBANKA_0112500	MFR1	no	
PBANKA_0112600	PBANKA_0112600.1	fam-b protein	Previous IDs: PB300933.00.0;PBANKA_011260	PBANKA_0112600	N/A	no	
