pbanka_id	Gene IDs	gene_product	gene_symbol	pool	GCKO2_RGR	GCKO2_diff_max	GCKO2_diff_min	GCKO2_feed	GCKO2_pheno	GCKO2_relative_filter	GCKO2_sd	GCKO2_var	GCKO2_pvalue2	GCKO2_pvalue	GCKO2_zvalue	GCKO2_fdr	GCKO2_fdr2	g145480_RGR	g145480_diff_max	g145480_diff_min	g145480_feed	g145480_pheno	g145480_relative_filter	g145480_sd	g145480_var	g145480_pvalue2	g145480_pvalue	g145480_zvalue	g145480_fdr	g145480_fdr2
PBANKA_1143400	PBANKA_1143400_pool3	NADH-cytochrome b5 reductase, putative	NA	pool3	0.127726042	0.266240624	-0.01078854	Mf1 and Mf2	Not Reduced	Not applied	0.069257291	0.004796572	0.065150326	0.967424837	-1.844225205	1	0.100428633	0.028453989	0.222201229	-0.16529325	Mf1 and Mf2	Not Reduced	Not applied	0.09687362	0.009384498	0.768969742	0.615515129	-0.293722785	0.769055716	0.840690958
PBANKA_0511000	PBANKA_0511000_pool4	biotin--protein ligase 1	HCS1	pool4	-0.227782165	0.066552486	-0.522116817	Mf1 and Mf2	Not Reduced	Not applied	0.147167326	0.021658222	0.121676056	0.060838028	1.547776752	0.119710015	0.175932661	0.029294876	0.362125207	-0.303535456	Mf1 and Mf2	Not Reduced	Not applied	0.166415166	0.027694007	0.860266531	0.569866734	-0.176034891	0.731307536	0.903108078
PBANKA_0812800	PBANKA_0812800_pool6	GTP-binding protein, putative	NA	pool6	-0.484430447	-0.161494363	-0.807366531	Mf1 and Mf2	Not Reduced	Not applied	0.161468042	0.026071929	0.002698352	0.001349176	3.000163007	0.003249883	0.005161245	0.065892984	0.247377029	-0.115591062	Mf1 and Mf2	Not Reduced	Not applied	0.090742023	0.008234115	0.467742336	0.766128832	-0.726157315	0.914048774	0.571852727
PBANKA_0101100	PBANKA_0101100_pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	liver merozoite formation protein	PALM	pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	0.042524481	0.115812193	-0.03076323	Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied	0.036643856	0.001342772	0.245853214	0.877073393	-1.160480535	1	0.323087677	0.071042274	0.18440642	-0.042321873	Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied	0.056682073	0.003212857	0.210079661	0.894960169	-1.253346422	1	0.292721293
PBANKA_1024600	PBANKA_1024600_pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	liver specific protein 1	LISP1	pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	-0.187999964	-0.054502994	-0.321496934	Mf1 and Mf2,Mf1 and Mf2,Mf2,no data,Mf1,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,no data	Not Reduced	Not applied,Not applied,Not applied,applied,Not applied,Not applied,Not applied,Not applied,Not applied,applied	0.066748485	0.00445536	0.004854358	0.002427179	2.816542789	0.005733164	0.009063673	0.156592254	0.504335542	-0.191151034	Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,no data,no data,Mf1 and Mf2	Not Reduced	Not applied,Not applied,Not applied,Not applied,Not applied,applied,applied,Not applied	0.173871644	0.030231349	0.367790476	0.816104762	-0.900619851	0.95957716	0.470391194
PBANKA_0501200	PBANKA_0501200_pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	early transcribed membrane protein	UIS4	pilot,pool1,pool2,pool3,pool4,pool6,pool5,pool7,pool5_2,pool7_2	-0.131841198	-0.033900471	-0.229781924	Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied	0.048970363	0.002398096	0.007096852	0.003548426	2.692265053	0.008239565	0.012963583	0.229593035	0.388289183	0.070896886	Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2,Mf1 and Mf2	Not Reduced	Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied,Not applied	0.079348074	0.006296117	0.003809837	0.998095081	-2.893492214	1	0.007861679
PBANKA_0417700	PBANKA_0417700_pool2	alpha tubulin 1	NA	pool2	-0.280233498	0.766867795	-1.327334792	Mf1 and Mf2	No Power	Not applied	0.523550647	0.27410528	0.592473015	0.296236507	0.535255758	0.476762426	0.671510263	0.374589075	0.595778779	0.153399372	Mf1 and Mf2	Not Reduced	Not applied	0.110594852	0.012231221	0.000706513	0.999646743	-3.387038999	1	0.001646118
PBANKA_1357500	PBANKA_1357500_pool2	lipoyl synthase	LipA	pool2	0.18959333	1.033274075	-0.654087415	Mf1 and Mf2	Not Reduced	Not applied	0.421840373	0.1779493	0.653111899	0.67344405	-0.449443303	0.917937428	0.721583308	0.411438416	1.627881794	-0.805004963	Mf1 and Mf2	Not Reduced	Not applied	0.608221689	0.369933623	0.498747828	0.750626086	-0.676461269	0.902179556	0.600080721
PBANKA_1404100	PBANKA_1404100_pool5	site-2 protease S2P	S2P	pool5	0.188615627	0.335919903	0.041311351	Mf1 and Mf2	Not Reduced	Not applied	0.073652138	0.005424637	0.010440194	0.994779903	-2.560898196	1	0.018396227	0.423061681	0.809912154	0.036211207	Mf1 and Mf2	Not Reduced	Not applied	0.193425237	0.037413322	0.028727171	0.985636414	-2.187210356	1	0.04994311
PBANKA_1142300	PBANKA_1142300_pool6	rhoptry protein RHOP148, putative	RHOP148	pool6	-0.801690321	-0.500330233	-1.103050409	Mf1 and Mf2	Not Reduced	Not applied	0.150680044	0.022704476	1.03E-07	5.17E-08	5.320481068	1.60E-07	2.76E-07	0.507480334	0.690866368	0.3240943	Mf1 and Mf2	Not Reduced	Not applied	0.091693017	0.008407609	3.12E-08	0.999999984	-5.534558146	1	1.06E-07
